"date_time_sampled","symbol","open_price","high_price","low","close_price","volume"
2021-03-01 08:00:00.000 +0800,btcusd,45284.744486,52534.2053121,45142.0906509,50926.0,54957.60379883022
2021-02-22 08:00:00.000 +0800,btcusd,57374.0,57431.0,43237.44876088,45201.0,124944.52323031974
2021-02-15 08:00:00.000 +0800,btcusd,48597.0,58317.0,45889.0,57376.0,68136.2297546501
2021-02-08 08:00:00.000 +0800,btcusd,38841.0,49656.0,38049.99291456,48572.02778823,84363.35291270053
2021-02-01 08:00:00.000 +0800,btcusd,33117.79931925,40982.0,32408.0,38827.0,49821.62839546003
2021-01-25 08:00:00.000 +0800,btcusd,32327.0,38699.0,29370.0,33120.0,83484.16957424981
2021-01-18 08:00:00.000 +0800,btcusd,35901.0,37900.0,29063.0,32296.0,83235.70124046993
2021-01-11 08:00:00.000 +0800,btcusd,38200.0,39999.0,30750.62735013,35881.0,134316.14153604055
2021-01-04 08:00:00.000 +0800,btcusd,32990.0,41918.0,28795.0,38200.0,128873.45658770023
2021-05-10 08:00:00.000 +0800,btcusd,58286.86932662,59589.07666663,44134.93582581,46551.0,91922.22183539034
2021-05-03 08:00:00.000 +0800,btcusd,56601.0,59444.0,53110.20049048,58275.0,58817.83029318991
2021-04-26 08:00:00.000 +0800,btcusd,49129.093002,58308.0,48948.0,56605.0,47466.01290123996
2021-04-19 08:00:00.000 +0800,btcusd,56171.0,57500.0,47338.0,49028.0,69585.29399734018
2021-04-12 08:00:00.000 +0800,btcusd,60033.0,64787.7582,52000.0,56155.0,79189.61060672012
2021-04-05 08:00:00.000 +0800,btcusd,58241.0,61220.0,55614.0,60000.0,42733.26368306021
2021-03-29 08:00:00.000 +0800,btcusd,55783.0,60190.0,54957.0,58240.0,48220.6873653502
2021-03-22 08:00:00.000 +0800,btcusd,57341.0,58361.0,50580.0,55758.7472491,58076.719737070125
2021-03-15 08:00:00.000 +0800,btcusd,59001.0,60541.0,53571.0,57291.0,65342.3478982499
2021-03-08 08:00:00.000 +0800,btcusd,51011.0,61693.0,49465.0,59000.0,63648.2550741901
2021-07-19 08:00:00.000 +0800,btcusd,31820.47850988,35416.0,29419.0,35372.0,44282.152478889795
2021-07-12 08:00:00.000 +0800,btcusd,34249.0,34605.0,31112.0,31816.837827,56082.641660719826
2021-07-05 08:00:00.000 +0800,btcusd,35278.0,35116.52029597,32178.0,34227.0,49674.36189603016
2021-06-28 08:00:00.000 +0800,btcusd,34743.0,36540.0,32746.0,35276.0,31882.256601620014
2021-06-21 08:00:00.000 +0800,btcusd,35653.0,35738.0,29290.0,34660.0,151238.95086913012
2021-06-14 08:00:00.000 +0800,btcusd,38998.89297611,41266.0,33501.0,35631.0,67759.42877570013
2021-06-07 08:00:00.000 +0800,btcusd,35781.0,39362.0,31277.13337596,38998.89297611,82217.00831600008
2021-05-31 08:00:00.000 +0800,btcusd,35609.0,39479.64146027,34239.0,35779.0,40013.657499549925
2021-05-24 08:00:00.000 +0800,btcusd,34747.0,40859.0,33528.0,35614.0,61067.581635829876
2021-05-17 08:00:00.000 +0800,btcusd,46587.61320955,46769.0,30906.10640908,34663.0,204747.73961270892
2021-09-27 08:00:00.000 +0800,btcusd,43188.0,49160.0,40886.0,48222.0,33883.15175855994
2021-09-20 08:00:00.000 +0800,btcusd,47244.0,47309.0,40018.14443964,43179.0,61554.956041349855
2021-09-13 08:00:00.000 +0800,btcusd,46039.0,48794.0,43736.0,47239.0,26694.415097179866
2021-09-06 08:00:00.000 +0800,btcusd,51779.0,52882.09899135,44360.0,46038.87431928,44048.37674077022
2021-08-30 08:00:00.000 +0800,btcusd,48801.0,51890.0,46616.0,51756.0,34325.70850835012
2021-08-23 08:00:00.000 +0800,btcusd,49267.0,50481.54111909,46417.0,48800.0,32934.32117537
2021-08-16 08:00:00.000 +0800,btcusd,47023.0,49721.0,44027.0,49258.96393205,37489.83782627012
2021-08-09 08:00:00.000 +0800,btcusd,43782.46903142,48100.0,42900.0,47022.0,42633.16998046976
2021-08-02 08:00:00.000 +0800,btcusd,39873.0,45228.0,37490.0,43758.0,43752.155344879735
2021-07-26 08:00:00.000 +0800,btcusd,35413.0,42510.35226916,35316.0,39867.0,56399.51487202001
2021-12-06 08:00:00.000 +0800,btcusd,49475.49285585,51927.92530489,46982.0,50112.0,38434.714266229785
2021-11-29 08:00:00.000 +0800,btcusd,57329.0,59155.0,44643.0,49414.45107614,59219.99281884989
2021-11-22 08:00:00.000 +0800,btcusd,58702.0,59411.0,53652.0,57223.0,46486.974589670055
2021-11-15 08:00:00.000 +0800,btcusd,65474.0,66288.0,55742.0,58691.0,47357.64261888995
2021-11-08 08:00:00.000 +0800,btcusd,63277.0,68925.0,62391.0,65432.0,39727.68056854995
2021-11-01 08:00:00.000 +0800,btcusd,61326.0,64234.0,59757.0,63259.13934979,26130.259566320066
2021-10-25 08:00:00.000 +0800,btcusd,60832.0,63666.0,58232.0,61323.0,32248.89577862008
2021-10-18 08:00:00.000 +0800,btcusd,61508.0,66891.0,59653.0,60847.0,52285.384980779956
2021-10-11 08:00:00.000 +0800,btcusd,54679.0,62782.0,54399.38947526,61500.89608333,42420.535616820074
2021-10-04 08:00:00.000 +0800,btcusd,48241.0,56331.0,47109.0,54691.0,42099.52478393997
2021-12-27 08:00:00.000 +0800,btcusd,50805.0,51971.0,45750.0,47302.0,24543.46487305999
2021-12-20 08:00:00.000 +0800,btcusd,46698.0,51814.0,45650.0,50797.0,25426.826809710026
2021-12-13 08:00:00.000 +0800,btcusd,50116.77552521,50212.0,45585.0,46699.0,39587.49559418
